"filename", "language", "HTML", "XML", "JavaScript", "CSS", "Java", "comment", "blank", "total"
"c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\dao\PictureDAO.java", "Java", 0, 0, 0, 0, 37, 0, 9, 46
"c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\dao\customization\DatabaseLayoutDAO.java", "Java", 0, 0, 0, 0, 63, 0, 21, 84
"c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\dao\product\CartItemDAO.java", "Java", 0, 0, 0, 0, 102, 21, 29, 152
"c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\dao\product\DestinationDAO.java", "Java", 0, 0, 0, 0, 36, 0, 15, 51
"c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\dao\product\PriceDAO.java", "Java", 0, 0, 0, 0, 36, 0, 14, 50
"c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\dao\product\ThemeDAO.java", "Java", 0, 0, 0, 0, 58, 3, 22, 83
"c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\dao\product\TourPackageDAO.java", "Java", 0, 0, 0, 0, 148, 6, 43, 197
"c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\dao\service\AccommodationDAO.java", "Java", 0, 0, 0, 0, 153, 9, 54, 216
"c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\dao\service\AddressDAO.java", "Java", 0, 0, 0, 0, 14, 0, 10, 24
"c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\dao\service\RestaurantDAO.java", "Java", 0, 0, 0, 0, 147, 4, 44, 195
"c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\dao\service\ServiceDAO.java", "Java", 0, 0, 0, 0, 137, 2, 46, 185
"c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\dao\service\TransportationDAO.java", "Java", 0, 0, 0, 0, 164, 4, 55, 223
"c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\dao\user\CustomerDAO.java", "Java", 0, 0, 0, 0, 101, 5, 28, 134
"c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\dao\user\OrganizerDAO.java", "Java", 0, 0, 0, 0, 179, 0, 49, 228
"c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\dao\user\ProviderDAO.java", "Java", 0, 0, 0, 0, 98, 0, 28, 126
"c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\dao\user\SuperAdminDAO.java", "Java", 0, 0, 0, 0, 103, 0, 28, 131
"c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\dao\user\UserDAO.java", "Java", 0, 0, 0, 0, 134, 10, 41, 185
"c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\entity\product\CartItem.java", "Java", 0, 0, 0, 0, 137, 0, 48, 185
"c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\entity\product\Destination.java", "Java", 0, 0, 0, 0, 72, 0, 22, 94
"c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\entity\product\Order.java", "Java", 0, 0, 0, 0, 0, 28, 1, 29
"c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\entity\product\Price.java", "Java", 0, 0, 0, 0, 70, 1, 21, 92
"c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\entity\product\Theme.java", "Java", 0, 0, 0, 0, 51, 0, 18, 69
"c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\entity\product\TourPackage.java", "Java", 0, 0, 0, 0, 129, 4, 48, 181
"c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\entity\product\service\Service.java", "Java", 0, 0, 0, 0, 96, 20, 32, 148
"c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\entity\product\service\ServiceInterface.java", "Java", 0, 0, 0, 0, 13, 2, 7, 22
"c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\entity\product\service\ServiceService.java", "Java", 0, 0, 0, 0, 12, 0, 8, 20
"c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\entity\product\service\ServiceType.java", "Java", 0, 0, 0, 0, 13, 0, 7, 20
"c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\entity\subscription\Customization.java", "Java", 0, 0, 0, 0, 65, 0, 23, 88
"c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\entity\subscription\Layout.java", "Java", 0, 0, 0, 0, 51, 0, 18, 69
"c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\entity\subscription\Subscription.java", "Java", 0, 0, 0, 0, 87, 0, 25, 112
"c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\entity\subscription\SubscriptionType.java", "Java", 0, 0, 0, 0, 4, 0, 3, 7
"c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\entity\subservices\Accommodation.java", "Java", 0, 0, 0, 0, 141, 3, 59, 203
"c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\entity\subservices\AccommodationType.java", "Java", 0, 0, 0, 0, 15, 0, 6, 21
"c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\entity\subservices\Restaurant.java", "Java", 0, 0, 0, 0, 126, 1, 45, 172
"c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\entity\subservices\Transportation.java", "Java", 0, 0, 0, 0, 153, 0, 54, 207
"c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\entity\subservices\TransportationType.java", "Java", 0, 0, 0, 0, 22, 0, 5, 27
"c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\entity\user\Customer.java", "Java", 0, 0, 0, 0, 51, 0, 19, 70
"c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\entity\user\Organizer.java", "Java", 0, 0, 0, 0, 110, 2, 39, 151
"c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\entity\user\Provider.java", "Java", 0, 0, 0, 0, 70, 2, 27, 99
"c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\entity\user\SuperAdmin.java", "Java", 0, 0, 0, 0, 48, 0, 17, 65
"c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\entity\user\User.java", "Java", 0, 0, 0, 0, 145, 0, 44, 189
"c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\entity\util\Address.java", "Java", 0, 0, 0, 0, 110, 0, 27, 137
"c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\entity\util\Administration.java", "Java", 0, 0, 0, 0, 63, 0, 13, 76
