Date : 2023-08-28 12:42:44
Directory : c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main
Total : 181 files,  21432 codes, 1384 comments, 6035 blanks, all 28851 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| HTML       |         62 |     10,040 |        345 |      2,803 |     13,188 |
| Java       |         89 |      8,370 |        883 |      2,691 |     11,944 |
| CSS        |         17 |      2,564 |         83 |        451 |      3,098 |
| JavaScript |          5 |        300 |         49 |         69 |        418 |
| XML        |          8 |        158 |         24 |         21 |        203 |
+------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                   | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                      |        181 |     21,432 |      1,384 |      6,035 |     28,851 |
| java                                                                                                                                                   |         89 |      8,370 |        883 |      2,691 |     11,944 |
| java\triphub                                                                                                                                           |         89 |      8,370 |        883 |      2,691 |     11,944 |
| java\triphub\dao                                                                                                                                       |         17 |      1,710 |         64 |        536 |      2,310 |
| java\triphub\dao (Files)                                                                                                                               |          1 |         37 |          0 |          9 |         46 |
| java\triphub\dao\customization                                                                                                                         |          1 |         63 |          0 |         21 |         84 |
| java\triphub\dao\product                                                                                                                               |          5 |        380 |         30 |        123 |        533 |
| java\triphub\dao\service                                                                                                                               |          5 |        615 |         19 |        209 |        843 |
| java\triphub\dao\user                                                                                                                                  |          5 |        615 |         15 |        174 |        804 |
| java\triphub\entity                                                                                                                                    |         33 |      2,124 |         64 |        745 |      2,933 |
| java\triphub\entity\product                                                                                                                            |         10 |        593 |         55 |        212 |        860 |
| java\triphub\entity\product (Files)                                                                                                                    |          6 |        459 |         33 |        158 |        650 |
| java\triphub\entity\product\service                                                                                                                    |          4 |        134 |         22 |         54 |        210 |
| java\triphub\entity\subscription                                                                                                                       |          4 |        207 |          0 |         69 |        276 |
| java\triphub\entity\subservices                                                                                                                        |          5 |        457 |          4 |        169 |        630 |
| java\triphub\entity\user                                                                                                                               |          5 |        424 |          4 |        146 |        574 |
| java\triphub\entity\util                                                                                                                               |          9 |        443 |          1 |        149 |        593 |
| java\triphub\helpers                                                                                                                                   |          7 |        105 |         19 |         44 |        168 |
| java\triphub\main                                                                                                                                      |          4 |         19 |        404 |          6 |        429 |
| java\triphub\managedBeans                                                                                                                              |         14 |      2,839 |        225 |        854 |      3,918 |
| java\triphub\managedBeans\customization                                                                                                                |          1 |         18 |          0 |          8 |         26 |
| java\triphub\managedBeans\products                                                                                                                     |          8 |      1,925 |        145 |        604 |      2,674 |
| java\triphub\managedBeans\registration                                                                                                                 |          5 |        896 |         80 |        242 |      1,218 |
| java\triphub\services                                                                                                                                  |          8 |        781 |         98 |        244 |      1,123 |
| java\triphub\viewModel                                                                                                                                 |          6 |        792 |          9 |        262 |      1,063 |
| resources                                                                                                                                              |          1 |         18 |          1 |          8 |         27 |
| resources\META-INF                                                                                                                                     |          1 |         18 |          1 |          8 |         27 |
| webapp                                                                                                                                                 |         91 |     13,044 |        500 |      3,336 |     16,880 |
| webapp\WEB-INF                                                                                                                                         |          9 |        670 |         54 |         92 |        816 |
| webapp\WEB-INF (Files)                                                                                                                                 |          3 |        136 |         23 |         13 |        172 |
| webapp\WEB-INF\templates                                                                                                                               |          6 |        534 |         31 |         79 |        644 |
| webapp\resources                                                                                                                                       |         26 |      2,868 |        132 |        520 |      3,520 |
| webapp\resources\css                                                                                                                                   |         17 |      2,564 |         83 |        451 |      3,098 |
| webapp\resources\images                                                                                                                                |          4 |          4 |          0 |          0 |          4 |
| webapp\resources\javascript                                                                                                                            |          5 |        300 |         49 |         69 |        418 |
| webapp\views                                                                                                                                           |         56 |      9,506 |        314 |      2,724 |     12,544 |
| webapp\views (Files)                                                                                                                                   |          5 |        769 |         35 |        108 |        912 |
| webapp\views\loginAndAccount                                                                                                                           |          9 |      2,097 |         93 |        170 |      2,360 |
| webapp\views\organizer_session                                                                                                                         |         19 |      2,031 |         59 |      1,904 |      3,994 |
| webapp\views\product                                                                                                                                   |         16 |      4,074 |        116 |        481 |      4,671 |
| webapp\views\provider_session                                                                                                                          |          2 |         28 |          1 |          1 |         30 |
| webapp\views\subscriptionAndCustomization                                                                                                              |          1 |        140 |          0 |         20 |        160 |
| webapp\views\superAdmin                                                                                                                                |          4 |        367 |         10 |         40 |        417 |
+--------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                                               | language   | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\dao\PictureDAO.java                                   | Java       |         37 |          0 |          9 |         46 |
| c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\dao\customization\DatabaseLayoutDAO.java              | Java       |         63 |          0 |         21 |         84 |
| c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\dao\product\CartItemDAO.java                          | Java       |        102 |         21 |         29 |        152 |
| c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\dao\product\DestinationDAO.java                       | Java       |         36 |          0 |         15 |         51 |
